Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
 conhost.exe		2,780 K	5,040 K	17012	Console Window Host	Microsoft Corporation
 conhost.exe		2,784 K	4,972 K	13764	Console Window Host	Microsoft Corporation
 conhost.exe	< 0.01	2,788 K	5,012 K	17240	Console Window Host	Microsoft Corporation
winlogon.exe		3,844 K	8,868 K	760	Windows Logon Application	Microsoft Corporation
 explorer.exe	1.00	148,336 K	168,308 K	17480	Windows Explorer	Microsoft Corporation
  Revu.exe	0.01	1,085,364 K	1,100,212 K	17492	Bluebeam Revu	Bluebeam Software, Inc.
  astrill.exe	0.05	74,488 K	38,460 K	20344	Astrill - Way to Stars	Astrill
  WeChat.exe	0.02	102,772 K	126,532 K	19108	WeChat	Tencent
   WeChatWeb.exe		32,372 K	21,812 K	17144	Tencent Browsing Service	
  DesktopConnector.Applications.Tray.exe	0.04	135,440 K	162,724 K	20128	Autodesk Desktop Connector	Autodesk
   AddInProcess.exe	0.01	32,068 K	34,632 K	13964	AddInProcess.exe	Microsoft Corporation
   AddInProcess.exe	0.02	58,912 K	72,264 K	6752	AddInProcess.exe	Microsoft Corporation
   AddInProcess.exe	0.03	44,420 K	63,564 K	11248	AddInProcess.exe	Microsoft Corporation
   AddInProcess.exe	0.03	81,896 K	104,912 K	20712	AddInProcess.exe	Microsoft Corporation
   AddInProcess.exe	0.02	44,056 K	63,140 K	10284	AddInProcess.exe	Microsoft Corporation
   AddInProcess.exe	0.01	29,584 K	30,416 K	16532	AddInProcess.exe	Microsoft Corporation
   AddInProcess.exe	0.02	31,904 K	35,892 K	20244	AddInProcess.exe	Microsoft Corporation
   AddInProcess.exe	0.02	36,576 K	49,692 K	2744	AddInProcess.exe	Microsoft Corporation
   AddInProcess.exe	0.01	50,140 K	51,204 K	18636	AddInProcess.exe	Microsoft Corporation
   AddInProcess.exe	< 0.01	32,396 K	36,408 K	14312	AddInProcess.exe	Microsoft Corporation
   AddInProcess.exe	0.01	32,416 K	36,100 K	12392	AddInProcess.exe	Microsoft Corporation
RAVCpl64.exe		9,652 K	12,284 K	3924	Realtek HD Audio Manager	Realtek Semiconductor
BBPrint.exe		2,512 K	5,320 K	3948	BBPrint Application	Bluebeam Software, Inc.
RevitAccelerator.exe	0.01	91,744 K	117,280 K	3968	Revit Accelerator	Autodesk, Inc.
